transaction_id,donor_id,committee_id,candidate_name,amount,date
AE281E13DF1F04FD8A75,D7716618271,C00776476,"King, Kelvin",250.0,2022-05-17
A0AF620E211544C55AB4,D1626616264,C00776476,"King, Kelvin",500.0,2022-05-17
AF85DEF3EA7C24A3C9D7,D2552005873,C00776476,"King, Kelvin",250.0,2022-05-17
A008A80C8CC634009A57,D7299190330,C00776476,"King, Kelvin",250.0,2022-05-17
AAABB47BC798B43469CD,D4500150492,C00776476,"King, Kelvin",400.0,2022-05-16
AD039544258C34565BB5,D2798380247,C00776476,"King, Kelvin",750.0,2022-05-13
ADB563855AAAB47918F0,D6567602340,C00776476,"King, Kelvin",500.0,2022-05-12
A375CBFF1F59B47C7A9C,D5287414125,C00776476,"King, Kelvin",500.0,2022-05-12
A2BB84B52D3E34085935,D2448159732,C00776476,"King, Kelvin",250.0,2022-05-09
A3EF50A6212844DA8ADD,D1626616264,C00776476,"King, Kelvin",400.0,2022-05-09
A29A4E8798FEF41E3986,D9080908785,C00776476,"King, Kelvin",500.0,2022-05-09
A22EF9621C7154301809,D7078056665,C00776476,"King, Kelvin",2900.0,2022-05-09
ACAE833D4983547B3AC2,D5651325443,C00776476,"King, Kelvin",2100.0,2022-05-09
ABC82B5D56BB441A4AEF,D6688927442,C00776476,"King, Kelvin",500.0,2022-05-07
A51D3514CD2F1442FBFA,D8420833638,C00776476,"King, Kelvin",250.0,2022-05-06
A04481E2ED9014B7F826,D2309656072,C00776476,"King, Kelvin",238.42,2022-05-05
A21E9069E00E243AEBE2,D3052080063,C00776476,"King, Kelvin",250.0,2022-05-05
A75D91BCEBA5F405F806,D9200013867,C00776476,"King, Kelvin",200.0,2022-05-05
A5392A73BD8724D4EBA0,D1707385848,C00776476,"King, Kelvin",250.0,2022-05-04
AB91C2B8AE40E4383975,D3637127516,C00776476,"King, Kelvin",300.0,2022-05-03
A2F7065C9C14F4E40BBE,D6545597658,C00776476,"King, Kelvin",250.0,2022-05-03
A3EDC3C41E4B549A296E,D9059057373,C00776476,"King, Kelvin",1000.0,2022-05-03
A5A5F99FE90E3451B8CE,D5642486166,C00776476,"King, Kelvin",500.0,2022-05-02
AA704738603FF4FAB96C,D6567602340,C00776476,"King, Kelvin",500.0,2022-05-02
A8C4B55B551244A6A8EC,D1762195096,C00776476,"King, Kelvin",2500.0,2022-05-02
A6DC8B944FCBC472CA2C,D5613674452,C00776476,"King, Kelvin",500.0,2022-04-30
A54F66EBAD2C34F9E987,D7339878217,C00776476,"King, Kelvin",250.0,2022-04-30
AC6F6A78AA2CD4E68A2C,D5541405489,C00776476,"King, Kelvin",250.0,2022-04-29
A961F25AD73F9470F86E,D6058716788,C00776476,"King, Kelvin",250.0,2022-04-29
A1D03915720E34D9D862,D2962656200,C00776476,"King, Kelvin",1500.0,2022-04-29
AD4085D1BA03A418ABEC,D6950759246,C00776476,"King, Kelvin",500.0,2022-04-29
A3F55A47B8F884CDFAA4,D4384672276,C00776476,"King, Kelvin",250.0,2022-04-29
A2F51D16F6E9C47A3B91,D4054938674,C00776476,"King, Kelvin",250.0,2022-04-29
A6FF2CD57987D40F7BF3,D1300663165,C00776476,"King, Kelvin",1000.0,2022-04-28
AE1AC15449CD04B64848,D4247159181,C00776476,"King, Kelvin",250.0,2022-04-27
A28B5C476C48645F48DA,D1490828280,C00776476,"King, Kelvin",2900.0,2022-04-25
A366F08CDB4664F38BD0,D7516751839,C00776476,"King, Kelvin",250.0,2022-04-25
A371F434225284018A72,D3721998621,C00776476,"King, Kelvin",500.0,2022-04-22
SA14.17840,D3415468146,C00547570,"Perdue, David",3570.0,2022-09-13
SA15.16507,D3168649692,C00547570,"Perdue, David",7814.38,2022-05-31
SA15.16509,D7935675548,C00547570,"Perdue, David",601.72,2022-04-21
SA15.16508,D3168649692,C00547570,"Perdue, David",9495.85,2022-04-01
SA15.16395,D3168649692,C00547570,"Perdue, David",20972.7,2022-03-07
SA14.16394,D7918840833,C00547570,"Perdue, David",5000.0,2022-02-22
SA15.16392,D3168649692,C00547570,"Perdue, David",36018.36,2022-01-10
SA15.16390,D7935675548,C00547570,"Perdue, David",2833.35,2021-12-03
SA15.16389,D3168649692,C00547570,"Perdue, David",32616.56,2021-11-29
SA15.16386,D3168649692,C00547570,"Perdue, David",26887.74,2021-11-17
SA14.16385,D6177133673,C00547570,"Perdue, David",861509.79,2021-10-25
SA15.16307,D3168649692,C00547570,"Perdue, David",9180.74,2021-09-27
SA15.16308,D3168649692,C00547570,"Perdue, David",13113.0,2021-09-07
SA12.15985,D8651661378,C00547570,"Perdue, David",9406.96,2021-07-20
SA12.15984,D8651661378,C00547570,"Perdue, David",2065.56,2021-07-20
SA15.16309,D3168649692,C00547570,"Perdue, David",9300.89,2021-07-16
SA15.13302,D8611890571,C00547570,"Perdue, David",45500.91,2021-06-18
SA14.13313,D5800758668,C00547570,"Perdue, David",25949.42,2021-05-03
SA14.13315,D8278768313,C00547570,"Perdue, David",606.0,2021-04-02
SA12.4364,D4257108714,C00547570,"Perdue, David",286505.66,2021-03-23
SA11AI.4103,D7591212560,C00547570,"Perdue, David",16720.07,2021-02-26
SA11AI.12683,D1309611165,C00547570,"Perdue, David",2900.0,2021-02-18
SA11AI.12690,D2216307276,C00547570,"Perdue, David",250.0,2021-02-17
SA11AI.12680,D4900891599,C00547570,"Perdue, David",250.0,2021-02-17
SA11AI.12706,D2485220562,C00547570,"Perdue, David",250.0,2021-02-16
SA11AI.12703,D6021242966,C00547570,"Perdue, David",250.0,2021-02-16
SA11AI.12699,D2539498384,C00547570,"Perdue, David",250.0,2021-02-16
SA11AI.12694,D5652934657,C00547570,"Perdue, David",250.0,2021-02-16
SA11AI.12709,D6784891391,C00547570,"Perdue, David",250.0,2021-02-15
SA11AI.12688,D1309611165,C00547570,"Perdue, David",2900.0,2021-02-15
SA14.4423,D8278768313,C00547570,"Perdue, David",1680.0,2021-02-05
SA12.4363,D2778486956,C00547570,"Perdue, David",104624.03,2021-01-26
SA11AI.5541,D9056180643,C00547570,"Perdue, David",200.0,2021-01-25
SA11AI.5537,D5653484507,C00547570,"Perdue, David",1000.0,2021-01-25
SA11AI.5536,D7119645303,C00547570,"Perdue, David",2020.0,2021-01-25
SA11AI.4142,D7119645303,C00547570,"Perdue, David",4000.0,2021-01-25
SA11AI.4141,D7119645303,C00547570,"Perdue, David",2740.25,2021-01-25
SA11AI.4139,D7119645303,C00547570,"Perdue, David",557.75,2021-01-25
SA11AI.4138,D7119645303,C00547570,"Perdue, David",525.0,2021-01-25
SA11AI.5534,D7561110645,C00547570,"Perdue, David",1000.0,2021-01-25
SA11AI.5532,D7561110645,C00547570,"Perdue, David",500.0,2021-01-25
SA14.4615,D8278768313,C00547570,"Perdue, David",363.16,2021-01-21
SA11AI.4129,D5878115472,C00547570,"Perdue, David",2078.5,2021-01-15
SA11AI.8200,D2163109162,C00547570,"Perdue, David",1000.0,2021-01-11
SA11AI.4120,D7591212560,C00547570,"Perdue, David",780383.45,2021-01-08
SA11AI.4116,D5878115472,C00547570,"Perdue, David",19125.5,2021-01-08
SA11AI.4119,D7264932978,C00547570,"Perdue, David",3924.0,2021-01-08
SA14.4617,D8278768313,C00547570,"Perdue, David",780.0,2021-01-07
SA11AI.4110,D7591212560,C00547570,"Perdue, David",2165329.17,2021-01-07
SA12.16838,D5008840364,C00571620,"Perdue, David",4600.0,2021-07-19
SA12.16795,D3117876593,C00571620,"Perdue, David",10501.67,2021-06-16
SA12.16794,D3117876593,C00571620,"Perdue, David",586.43,2021-06-16
SA12.16778,D3117876593,C00571620,"Perdue, David",13800.0,2021-01-25
SA11AI.16771,D3354336147,C00571620,"Perdue, David",2800.0,2021-01-05
SA11AI.16769,D1929970572,C00571620,"Perdue, David",2800.0,2021-01-05
SA12.7069,D3117876593,C00578542,"Perdue, David",16796.29,2021-06-18
SA12.6635,D3117876593,C00578542,"Perdue, David",14811.25,2021-01-25
SA12.6641,D3117876593,C00578542,"Perdue, David",457409.11,2021-01-19
SA11AI.6171,D7591212560,C00578542,"Perdue, David",25663.66,2021-01-07
SA11C.6547,D3711575615,C00578542,"Perdue, David",5000.0,2021-01-05
SA11C.6531,D2802055609,C00578542,"Perdue, David",1500.0,2021-01-05
SA11C.6527,D7499075222,C00578542,"Perdue, David",2500.0,2021-01-05
SA11C.6519,D7668950664,C00578542,"Perdue, David",2500.0,2021-01-05
SA11C.6523,D3501204305,C00578542,"Perdue, David",2000.0,2021-01-05
SA11C.6529,D2741943336,C00578542,"Perdue, David",2500.0,2021-01-05
SA11C.6525,D1050840418,C00578542,"Perdue, David",4000.0,2021-01-05
SA11C.6541,D8507750125,C00578542,"Perdue, David",15000.0,2021-01-05
SA11C.6539,D2579780782,C00578542,"Perdue, David",5000.0,2021-01-05
SA11C.6545,D4976176347,C00578542,"Perdue, David",5000.0,2021-01-05
SA11C.6537,D1238680714,C00578542,"Perdue, David",1000.0,2021-01-05
SA11C.6536,D1238680714,C00578542,"Perdue, David",1000.0,2021-01-05
SA11C.6535,D1238680714,C00578542,"Perdue, David",1000.0,2021-01-05
SA11C.6534,D1238680714,C00578542,"Perdue, David",1000.0,2021-01-05
SA11C.6533,D1238680714,C00578542,"Perdue, David",1000.0,2021-01-05
